Cohort Year,School,Conference,Sport,State,GSR,FGR
2014,University of Notre Dame,Independent,Football,IN,91,80
2014,Ohio State,Big Ten Conference,Football,OH,81,53
2014,Ohio University,Mid-American Conference,Football,OH,91,77
2014,Oklahoma State University,Big 12 Conference,Football,OK,74,57
2014,University of Oklahoma,Big 12 Conference,Football,OK,73,51
2014,Old Dominion University,Conference USA,Football,VA,70,51
2014,Oregon State University,Pac-12 Conference,Football,OR,82,69
2014,University of Oregon,Pac-12 Conference,Football,OR,73,60
2014,Pennsylvania State University,Big Ten Conference,Football,PA,87,71
2014,University of Pennsylvania,The Ivy League,Football,PA,91,90
2014,University of Pittsburgh,Atlantic Coast Conference,Football,PA,93,64
2014,Portland State University,Big Sky Conference,Football,OR,79,69
2014,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,64,58
2014,Princeton University,The Ivy League,Football,NJ,99,100
2014,Purdue University,Big Ten Conference,Football,IN,82,65
2014,University of Rhode Island,Colonial Athletic Association,Football,RI,81,60
2014,Rice University,Conference USA,Football,TX,91,88
2014,University of Richmond,Colonial Athletic Association,Football,VA,93,83
2014,Robert Morris University,Horizon League,Football,PA,71,41
2014,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,Football,NJ,71,55
2014,Sacred Heart University,Northeast Conference,Football,CT,84,68
2014,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,75,59
2014,Sam Houston State University,Southland Conference,Football,TX,56,59
2014,Samford University,Southern Conference,Football,AL,93,80
2014,San Diego State University,Mountain West Conference,Football,CA,84,69
2014,University of San Diego,Pioneer Football League,Football,CA,84,
2014,San Jose State University,Mountain West Conference,Football,CA,67,61
2014,University of South Alabama,Sun Belt Conference,Football,AL,79,57
2014,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,80,74
2014,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,89,64
2014,South Dakota State University,Missouri Valley Football Conference,Football,SD,77,56
2014,University of South Dakota,Missouri Valley Football Conference,Football,SD,88,63
2014,University of South Florida,American Athletic Conference,Football,FL,79,61
2014,Southeast Missouri State University,Ohio Valley Conference,Football,MO,74,53
2014,Southeastern Louisiana University,Southland Conference,Football,LA,75,60
2014,University of Southern California,Pac-12 Conference,Football,CA,81,60
2014,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,78,55
2014,Southern Methodist University,American Athletic Conference,Football,TX,82,67
2014,The University of Southern Mississippi,Conference USA,Football,MS,73,56
2014,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,55,45
2014,Southern Utah University,Big Sky Conference,Football,UT,69,49
2014,Missouri State University,Missouri Valley Football Conference,Football,MO,72,64
2014,Texas State University,Sun Belt Conference,Football,TX,70,54
2014,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,74,55
2014,Stanford University,Pac-12 Conference,Football,CA,93,88
2014,Stephen F. Austin State University,Southland Conference,Football,TX,65,47
2014,Stetson University,Pioneer Football League,Football,FL,83,
2014,Stony Brook University,Colonial Athletic Association,Football,NY,84,60
2014,Syracuse University,Atlantic Coast Conference,Football,NY,88,76
2014,Temple University,American Athletic Conference,Football,PA,89,73
2014,Tennessee State University,Ohio Valley Conference,Football,TN,63,41
2014,Tennessee Technological University,Ohio Valley Conference,Football,TN,75,60
2014,University of Tennessee at Chattanooga,Southern Conference,Football,TN,80,60
2014,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,84,52
